Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
548,T.PET BUS STAND,43,9250,COLLEGE TO KARUGUDI,32
549,T.PET BYEPASS,45,9250,COLLEGE TO KARUGUDI,32
550,T.PET KADAI VEETHI,42,9250,COLLEGE TO KARUGUDI,32
551,T.V.KOVIL,60,10500,COLLEGE TO BHEL,1
552,TEACHERS COLONY,37,8750,COLLEGE TO KONDICHETTIPATTI,31
553,THALAGUDI,55,10250,COLLEGE TO ANBIL,2
554,THALAKKARAI,62,10750,COLLEGE TO KANDHAMPALAYAM,4
555,THALAMALAI 4 ROAD,32,8250,COLLEGE TO VALASIRAMANI,23
556,THALIYAMPATTI,24,7500,COLLEGE TO PANJAPPATTI,29
557,THANDALAI PUTHUR,33,8250,COLLEGE TO KURUVAMPATTI,13
558,THANDAM PATTI,43,9250,COLLEGE TO ARAICHI,20
559,THANNEER PALLI,25,7500,COLLEGE TO INUNGUR,26
560,THATHAGIRI MURUGAN KOVIL,41,9250,COLLEGE TO CINNAKARAVALLI,12
561,THATHAIYANGAR PATTI,50,9750,COLLEGE TO RASIPURAM,5
562,THATHAM PATTI,25,7500,COLLEGE TO ARAICHI,20
563,THATHAMPATTI,34,8250,COLLEGE TO KARAVALLI,11
564,THATHAMPATTI,45,9250,COLLEGE TO PANJAPPATTI,29
565,THAVITTU PALAYAM,21,7500,COLLEGE TO KATTUPUTHUR,40
566,THELUNGUPATTI,50,9750,COLLEGE TO MANAPARAI,7
567,THERPULIYAMARAM,51,10250,COLLEGE TO KARAVALLI,11
568,THILLAI NAGAR ,58,10500,COLLEGE TO SOMARASAMPETTAI,3
569,THIMACHIPURAM,23,7500,COLLEGE TO LALAPET,41
570,THINNA KONAM,33,8250,COLLEGE TO SOUTH SITHAMPUR,22
571,THIRUCHAPUR,33,8250,COLLEGE TO ETTARAI,15
572,THIRUEINGOIMALAI MALAIPATHAI,16,6500,COLLEGE TO IRUMPOOTHIPATTI,34
573,THIRUEINGOIMALAI OORPATHAI,16,6500,COLLEGE TO IRUMPOOTHIPATTI,34
574,THIRUMALAI PATTI PIRIVU,49,9750,COLLEGE TO BELUKURICHI,10
575,THIRUMALAIPTTI,54,10250,COLLEGE TO THIRUMALAI PATTI,14
576,THIRUMANALLYUR,37,8750,COLLEGE to KARUR,25
577,THIRUMANUR,48,9750,COLLEGE TO PACHAPERUMALPATTI,6
578,THIRUPARAITHURAI,39,8750,COLLEGE TO BHEL,1
579,THIRUPPANJEELI,52,10250,COLLEGE TO THIRUPPANJEELI,17
580,THIRUVARAMBUR,76,11500,COLLEGE TO BHEL,1
581,THOGAMALAI,49,9750,COLLEGE TO THOGAIMALAI,21
582,THOLURPATTI,3,3500,COLLEGE TO PAPPAPATTI,47
583,THOPPUR,31,8250,COLLEGE TO THOPUR,37
584,THOTTIYAM BUS STAND,6,4500,COLLEGE TO THIRUPPANJEELI,17
585,THOTTIYAM BUS STAND,6,4500,COLLEGE TO LALAPET,41
586,THOTTIYAM POLICE STATION,5,3500,              COLLEGE TO KOSAVAMPATTI,49
587,THOTTIYAM UNION OFFICE,4,3500,COLLEGE TO IRUMPOOTHIPATTI,34
588,THRUKAMPULIYUR,19,6500,     COLLEGE TO MAHADHANAPURAM,42
589,THRUVASI,49,9750,COLLEGE TO ANBIL,2
590,THUDAIYUR,46,9750,COLLEGE TO MANACHANALLUR,9
591,THUMBALAM,27,7750,COLLEGE TO ARAICHI,20
592,THURAIYUR BUS STAND,48,9750,COLLEGE TO THURAIYUR,18
593,THURAIYUR BYPASS BUNK HALT,49,9750,"COLLEGE TO KANNANUR,THURAIYUR",28
594,THURAIYUR ROAD,29,7750,COLLEGE TO SEVEYAMPALAYAM,27
595,THURAIYUR ROUNDANA,47,9750,"COLLEGE TO KANNANUR,THURAIYUR",28
596,THUSUR,36,8750,COLLEGE TO SEVEYAMPALAYAM,27
597,THUTHIKKULAM,45,9250,COLLEGE TO BELUKURICHI,10
598,TOLL PLAZA (MANAVASI),20,6500,COLLEGE to KARUR,25
599,TOLLGATE,54,10250,COLLEGE TO ANBIL,2
600,TOLLPLAZA,37,8750,COLLEGE TO  PANDAMANGALAM,8
601,T-PET,39,8750,COLLEGE TO KARUGUDI,32
602,TRICHY COURT,63,10750,COLLEGE TO SOMARASAMPETTAI,3
603,TRICHY G.H,61,10750,COLLEGE TO SOMARASAMPETTAI,3
604,"UDAYALAM PUTHUR,PIRIVU",3,3500,COLLEGE TO PALAYAPALAYAM,30
605,UMAYALPURAM,23,7500,COLLEGE TO ANBIL,2
606,UNION OFFICE,21,7500,COLLEGE TO PANJAPPATTI,29
607,UNNIUR,19,6500,COLLEGE TO MOHANUR,38
608,UYYAKONDAN THIRUMALAI,67,11000,COLLEGE TO SOMARASAMPETTAI,3
609,V.O.C. NAGAR,48,9750,COLLEGE TO NACHALUR,19
610,VADAKKIPATTI,43,9250,COLLEGE TO PACHAPERUMALPATTI,6
611,VADAKKIPATTI,54,10250,COLLEGE TO PACHAPERUMALPATTI,6
612,VADAVATHUR,12,5500,COLLEGE TO PALAYAPALAYAM,30
613,VADUGA PATTI,39,8750,COLLEGE TO CINNAKARAVALLI,12
614,VADUGAPATTI,17,6500,   COLLEGE TO KODANGIPATTI,46
615,VADUGAPATTI   (MUSIRI),22,7500,COLLEGE TO SOUTH SITHAMPUR,22
616,VADUGAPATTI (Mohanur),20,6500,COLLEGE TO MOHANUR,38
617,VAGURAM PATTI PRIVU,35,8250,COLLEGE TO KONDICHETTIPATTI,31
618,VAI PUTHUR,26,7750,COLLEGE TO IRUMPOOTHIPATTI,34
619,VAIKKAL PALAM,26,7750,COLLEGE TO IRUMPOOTHIPATTI,34
620,VALAIEDUPPU,39,8750,COLLEGE TO ARAICHI,20
621,VALAVANTHI,39,8750,COLLEGE TO PALAPATTI,24
622,VALAYAPATTI,15,5500,COLLEGE TO THOPUR,37
623,VALAYAPATTI HIGH SCHOOL,17,6500,COLLEGE TO PALAPATTI,24
624,VALAYAPATTI PRIVU,16,6500,COLLEGE TO THOPUR,37
625,VALAYAPATTI UNION (19),34,8250,COLLEGE TO NACHALUR,19
626,VALLIPURAM,33,8250,COLLEGE TO  PANDAMANGALAM,8
627,VALLUVAR NAGAR,16,6500,COLLEGE TO VELAMPATTI,35
628,VALMALPALAYAM KEAL,50,9750,COLLEGE TO THIRUPPANJEELI,17
629,VALMALPALAYAM MEAL,49,9750,COLLEGE TO THIRUPPANJEELI,17
630,VALVELPUTHUR,11,5500,COLLEGE TO THOPUR,37
631,VANDIGATE,33,8250,COLLEGE TO PALAPATTI,24
632,VARAGUR,35,8250,COLLEGE TO PANJAPPATTI,29
633,VARAGUR,24,7500,COLLEGE TO VELAMPATTI,35
634,VARATHARAJAPURAM,6,4500,COLLEGE TO MANACHANALLUR,9
635,VARIKAL PALAYAM,9,4500,COLLEGE TO PALAYAPALAYAM,30
636,VARIKARAI,44,9250,COLLEGE TO ETTARAI,15
637,VATHALAI ,40,8750,COLLEGE TO THIRUPPANJEELI,17
638,VATHIYAM,22,7500,COLLEGE TO LALAPET,41
639,VAYALUR,39,8750,COLLEGE TO PANJAPPATTI,29
640,VAZHASIRAMANI,45,9250,COLLEGE TO VALASIRAMANI,23
641,VAZHAVANTHI,29,7750,"COLLEGE TO KANNANUR,THURAIYUR",28
642,VEERAMANI PATTI,34,8250,COLLEGE TO SOUTH SITHAMPUR,22
643,VELAKKANATHAM,29,7750,COLLEGE TO KURUVAMPATTI,13
644,VELAKKANATHAM,29,7750,COLLEGE TO SOUTH SITHAMPUR,22
645,VELAMPATTI,31,8250,COLLEGE TO VELAMPATTI,35
646,VELLAGOUNDAMPATTI,44,9250,COLLEGE TO KANDHAMPALAYAM,4
647,VELLALAPALAYAM,49,9750,COLLEGE TO  PANDAMANGALAM,8
648,VELLALAR MILL,30,7750,COLLEGE TO KANDHAMPALAYAM,4
649,VELLAPPARAI,38,8750,COLLEGE TO KURUVAMPATTI,13
650,VELUR,53,10250,COLLEGE TO  PANDAMANGALAM,8
651,VELUR 4 ROAD,54,10250,COLLEGE TO  PANDAMANGALAM,8
652,VENGAMEDU,42,9250,COLLEGE to KARUR,25
653,VENGAMPATTI,25,7500,COLLEGE TO PANJAPPATTI,29
654,VENGANAM (43),23,7500,COLLEGE TO SRIRAMASAMUTHIRAM,43
655,VENTANKI,51,10250,COLLEGE TO CINNAKARAVALLI,12
656,VERTINERY COLLEGE PAPER MILL,31,8250,COLLEGE TO KONDICHETTIPATTI,31
657,VETTAMBADI,33,8250,COLLEGE TO KARAVALLI,11
658,VETTUKADU,50,9750,COLLEGE TO BELUKURICHI,10
659,VIRARAKKIYAM,26,7750,COLLEGE to KARUR,25
660,VITTAMA NAICKAN PATTI,34,8250,COLLEGE TO THIRUMALAI PATTI,14
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,, ,
