Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
164,KAMANAICKAN PALAYAM,33,8250,COLLEGE TO SOMARASAMPETTAI,3
165,KAMATCHIPATTI,27,7750,COLLEGE TO SOUTH SITHAMPUR,22
166,KAMPARASAMPETTAI,53,10250,COLLEGE TO BHEL,1
167,KAMPATHUR PATTI,24,7500,COLLEGE TO KONDICHETTIPATTI,31
168,KAMPLAI,33,8250,COLLEGE TO THIRUMALAI PATTI,14
169,KAMRAJAR MANDAPAM,23,7500,COLLEGE TO KATTUPUTHUR,40
170,KANAVAI PATTI,34,8250,COLLEGE TO KONDICHETTIPATTI,31
171,KANDHAMPALAYAM,69,11000,COLLEGE TO KANDHAMPALAYAM,4
172,KANGANIPATTI,25,7500,COLLEGE TO KONDICHETTIPATTI,31
173,KANNANUR,39,8750,"COLLEGE TO KANNANUR,THURAIYUR",28
174,KARATTU PATTI KAIKATI,6,4500,COLLEGE to KARUR,25
175,KARAVALLI,56,10500,COLLEGE TO KARAVALLI,11
176,KARIKALI,47,9750,COLLEGE TO METTUPALAYAM,16
